season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
1,0,1,0,0,0,1,2,0.2543,0.2346,0.608,0.0532,27
1,0,1,1,0,0,1,3,0.0,0.0606,0.696,0.0341,10
1,0,1,2,0,0,1,2,0.1952,0.2475,0.5476,0.2937,6
1,0,1,3,0,0,1,3,0.1597,0.1632,0.6842,0.2065,6
1,0,1,4,0,0,1,2,0.1735,0.1539,0.5061,0.3523,10
1,0,1,5,0,0,1,1,0.1802,0.1826,0.646,0.1735,56
1,0,1,6,0,0,1,1,0.2684,0.2151,0.5848,0.4514,88
1,0,1,7,0,0,1,2,0.2142,0.2335,0.5778,0.2769,201
1,0,1,8,0,0,1,2,0.1645,0.1614,0.9096,0.2237,267
1,0,1,9,0,0,1,2,0.0972,0.0561,0.5801,0.3216,144
1,0,1,10,0,0,1,3,0.3073,0.2744,0.5693,0.2077,97
1,0,1,11,0,0,1,2,0.1547,0.1642,0.449,0.0784,130
1,0,1,12,0,0,1,1,0.1909,0.1314,0.7388,0.1854,201
1,0,1,13,0,0,1,2,0.3497,0.3054,0.5548,0.3764,118
1,0,1,14,0,0,1,1,0.1566,0.1348,0.6162,0.5504,115
1,0,1,15,0,0,1,2,0.1807,0.2009,0.5187,0.5668,137
1,0,1,16,0,0,1,3,0.2163,0.2569,0.6699,0.1231,145
1,0,1,17,0,0,1,1,0.0876,0.0946,0.7319,0.2669,292
1,0,1,18,0,0,1,2,0.0795,0.0,0.777,0.1845,186
1,0,1,19,0,0,1,2,0.1663,0.1245,0.606,0.3029,188
1,0,1,20,0,0,1,1,0.1687,0.2651,0.5488,0.4404,162
1,0,1,21,0,0,1,2,0.2094,0.2036,0.541,0.3588,94
1,0,1,22,0,0,1,2,0.1315,0.0468,0.6221,0.2002,84
1,0,1,23,0,0,1,2,0.2304,0.29,0.6504,0.3593,49
1,0,1,0,0,1,1,1,0.0491,0.0065,0.6845,0.1814,25
1,0,1,1,0,1,1,1,0.1951,0.2026,0.5175,0.0225,17
1,0,1,2,0,1,1,2,0.2252,0.1796,0.6353,0.236,6
1,0,1,3,0,1,1,1,0.223,0.2779,0.4968,0.2023,9
1,0,1,4,0,1,1,1,0.1886,0.1367,0.6036,0.4165,13
1,0,1,5,0,1,1,3,0.1538,0.1286,0.7866,0.0943,36
1,0,1,6,0,1,1,2,0.1866,0.2087,0.5918,0.1092,88
1,0,1,7,0,1,1,2,0.2864,0.2555,0.513,0.14,197
1,0,1,8,0,1,1,3,0.1581,0.1648,0.6612,0.2578,205
1,0,1,9,0,1,1,1,0.2685,0.28,0.7265,0.113,213
1,0,1,10,0,1,1,1,0.2796,0.271,0.5269,0.1869,149
1,0,1,11,0,1,1,2,0.0785,0.0413,0.4565,0.3617,156
1,0,1,12,0,1,1,1,0.1911,0.1579,0.5217,0.7076,157
1,0,1,13,0,1,1,1,0.1316,0.1135,0.5664,0.4216,171
1,0,1,14,0,1,1,2,0.0949,0.1078,0.8013,0.1165,106
1,0,1,15,0,1,1,1,0.2555,0.2671,0.4507,0.293,125
1,0,1,16,0,1,1,2,0.2332,0.2277,0.4158,0.1114,176
1,0,1,17,0,1,1,2,0.2185,0.2286,0.6518,0.3694,218
1,0,1,18,0,1,1,2,0.1241,0.0701,0.5337,0.243,173
1,0,1,19,0,1,1,1,0.2148,0.213,0.5002,0.4574,221
1,0,1,20,0,1,1,1,0.1083,0.1009,0.6971,0.4157,119
1,0,1,21,0,1,1,3,0.2054,0.21,0.6301,0.3137,79
1,0,1,22,0,1,1,3,0.1537,0.1686,0.7398,0.2463,52
1,0,1,23,0,1,1,2,0.2736,0.2284,0.7073,0.1916,55
1,0,1,0,0,2,1,1,0.1747,0.1627,0.4733,0.0171,30
1,0,1,1,0,2,1,2,0.2163,0.2456,0.4168,0.178,13
1,0,1,2,0,2,1,1,0.2165,0.2148,0.7526,0.1073,10
1,0,1,3,1,2,0,1,0.1948,0.1821,0.6034,0.2818,3
1,0,1,4,0,2,1,1,0.2075,0.1606,0.9801,0.5329,15
1,0,1,5,0,2,1,1,0.2214,0.2266,0.7343,0.4114,41
1,0,1,6,0,2,1,1,0.1374,0.0888,0.7828,0.1794,71
1,0,1,7,0,2,1,1,0.2284,0.2116,0.505,0.086,213
1,0,1,8,0,2,1,2,0.2606,0.2329,0.6082,0.2451,307
1,0,1,9,0,2,1,2,0.228,0.2284,0.7153,0.0732,166
1,0,1,10,0,2,1,1,0.1754,0.1486,0.6082,0.304,119
1,0,1,11,0,2,1,1,0.2124,0.1919,0.625,0.2779,161
1,0,1,12,0,2,1,3,0.1747,0.1386,0.6475,0.334,138
1,0,1,13,0,2,1,1,0.1918,0.1748,0.5314,0.4174,163
1,0,1,14,0,2,1,1,0.117,0.1176,0.5123,0.777,142
1,0,1,15,0,2,1,2,0.2968,0.2715,0.5963,0.2726,142
1,0,1,16,0,2,1,2,0.3356,0.3094,0.5685,0.5835,195
1,0,1,17,0,2,1,2,0.1509,0.1483,0.513,0.1876,257
1,0,1,18,0,2,1,1,0.2552,0.2725,0.6031,0.657,207
1,0,1,19,0,2,1,1,0.3022,0.3094,0.4616,0.3265,204
1,0,1,20,0,2,1,1,0.1331,0.0876,0.7098,0.504,134
1,0,1,21,0,2,1,2,0.0491,0.0696,0.689,0.351,89
1,0,1,22,0,2,1,1,0.3063,0.332,0.7003,0.2987,92
1,0,1,23,0,2,1,1,0.1994,0.2106,0.5176,0.0919,68
1,0,1,0,0,3,1,1,0.164,0.0834,0.5016,0.1797,31
1,0,1,1,0,3,1,3,0.2036,0.2014,0.776,0.5164,12
1,0,1,2,0,3,1,1,0.1745,0.2073,0.5939,0.2362,9
1,0,1,3,0,3,1,1,0.4075,0.3737,0.6858,0.6083,10
1,0,1,4,0,3,1,3,0.1632,0.242,0.4791,0.0248,10
1,0,1,5,0,3,1,2,0.2232,0.1467,0.5831,0.3443,28
1,0,1,6,0,3,1,2,0.2908,0.2806,0.7604,0.1828,77
1,0,1,7,0,3,1,2,0.2905,0.2976,0.6335,0.0767,212
1,0,1,8,0,3,1,1,0.2771,0.2684,0.5874,0.2731,251
1,0,1,9,0,3,1,2,0.1705,0.1666,0.6854,0.3018,147
1,0,1,10,0,3,1,1,0.1897,0.149,0.6553,0.1825,137
1,0,1,11,0,3,1,3,0.0481,0.0285,0.8676,0.5944,91
1,0,1,12,1,3,0,1,0.1951,0.2026,0.6223,0.301,83
1,0,1,13,0,3,1,2,0.2026,0.1291,0.6951,0.2551,142
1,0,1,14,0,3,1,2,0.2523,0.2668,0.6012,0.5195,90
1,0,1,15,0,3,1,1,0.326,0.3063,0.4988,0.1708,165
1,0,1,16,0,3,1,1,0.2501,0.2542,0.668,0.4819,255
1,0,1,17,0,3,1,2,0.2753,0.2869,0.4415,0.0612,244
1,0,1,18,0,3,1,1,0.1991,0.3011,0.7358,0.4445,197
1,0,1,19,0,3,1,3,0.2902,0.3177,0.4594,0.5156,104
1,0,1,20,0,3,1,1,0.2011,0.155,0.5112,0.5545,151
1,0,1,21,0,3,1,2,0.2802,0.331,0.5012,0.146,95
1,0,1,22,0,3,1,2,0.2566,0.1624,0.6919,0.3277,78
1,0,1,23,0,3,1,2,0.2278,0.2031,0.4831,0.3043,45
1,0,1,0,0,4,1,2,0.0927,0.0933,0.6777,0.1461,24
1,0,1,1,0,4,1,2,0.2771,0.2536,0.5357,0.0411,14
1,0,1,2,0,4,1,2,0.2271,0.2242,0.6025,0.1822,8
1,0,1,3,0,4,1,2,0.2498,0.2322,0.5522,0.23,8
1,0,1,4,0,4,1,2,0.2225,0.25,0.8958,0.3702,12
1,0,1,5,0,4,1,1,0.2346,0.2084,0.4169,0.1145,53
1,0,1,6,0,4,1,1,0.2916,0.2736,0.6753,0.1898,110
1,0,1,7,0,4,1,1,0.1674,0.2122,0.6154,0.1254,213
1,0,1,8,0,4,1,2,0.2333,0.2507,0.523,0.3631,233
1,0,1,9,0,4,1,3,0.1462,0.1338,0.6639,0.4947,116
1,0,1,10,0,4,1,1,0.241,0.2431,0.5013,0.4225,107
1,0,1,11,0,4,1,2,0.2182,0.2635,0.4877,0.2114,129
1,0,1,12,0,4,1,1,0.1564,0.1071,0.479,0.2729,217
1,0,1,13,0,4,1,2,0.2071,0.1642,0.6264,0.283,118
1,0,1,14,0,4,1,2,0.1608,0.1355,0.5446,0.1289,107
1,0,1,15,0,4,1,2,0.1741,0.1719,0.5125,0.3982,125
1,0,1,16,0,4,1,2,0.2254,0.2432,0.6577,0.2164,192
1,0,1,17,0,4,1,2,0.2194,0.1855,0.746,0.3534,245
1,0,1,18,0,4,1,1,0.0662,0.0346,0.4463,0.3013,232
1,0,1,19,0,4,1,2,0.2265,0.1759,0.6563,0.5494,166
1,0,1,20,0,4,1,1,0.1794,0.1421,0.6794,0.1143,131
1,0,1,21,0,4,1,3,0.1716,0.1433,0.7694,0.2465,72
1,0,1,22,0,4,1,2,0.1217,0.0507,0.5818,0.1792,91
1,0,1,23,0,4,1,1,0.1974,0.1707,0.8019,0.305,59
1,0,1,0,0,5,0,1,0.1643,0.1246,0.6858,0.0919,22
1,0,1,1,0,5,0,1,0.2901,0.2707,0.3902,0.1657,9
1,0,1,2,0,5,0,3,0.0785,0.1255,0.6517,0.3414,4
1,0,1,3,0,5,0,1,0.1335,0.079,0.6136,0.4951,5
1,0,1,4,0,5,0,2,0.1287,0.1527,0.7338,0.5291,8
1,0,1,5,0,5,0,1,0.219,0.2581,0.7573,0.3304,27
1,0,1,6,0,5,0,2,0.283,0.2978,0.4991,0.3341,57
1,0,1,7,0,5,0,2,0.2361,0.2346,0.7245,0.2771,130
1,0,1,8,0,5,0,1,0.1243,0.1575,0.6002,0.0435,228
1,0,1,9,0,5,0,2,0.1709,0.1813,0.5306,0.1291,101
1,0,1,10,0,5,0,1,0.1443,0.1704,0.7896,0.1858,89
1,0,1,11,0,5,0,2,0.2365,0.2282,0.5586,0.2978,94
1,0,1,12,0,5,0,1,0.1695,0.1292,0.6196,0.0042,162
1,0,1,13,0,5,0,2,0.102,0.1318,0.6067,0.4515,110
1,0,1,14,0,5,0,1,0.2419,0.3081,0.6775,0.0681,85
1,0,1,15,1,5,0,2,0.2894,0.2647,0.7741,0.1997,53
1,0,1,16,0,5,0,1,0.1884,0.1797,0.8088,0.4944,147
1,0,1,17,0,5,0,2,0.2094,0.2022,0.7243,0.3549,169
1,0,1,18,0,5,0,1,0.0955,0.0466,0.4129,0.2239,208
1,0,1,19,0,5,0,1,0.0568,0.0285,0.7906,0.2979,123
1,0,1,20,0,5,0,2,0.0715,0.0771,0.6878,0.5405,85
1,0,1,21,0,5,0,1,0.1978,0.1851,0.7474,0.3101,82
1,0,1,22,0,5,0,2,0.1794,0.1709,0.5795,0.1434,50
1,0,1,23,0,5,0,2,0.2392,0.228,0.6142,0.2819,34
1,0,1,0,0,6,0,1,0.1875,0.1746,0.7288,0.4522,19
1,0,1,1,0,6,0,3,0.2705,0.234,0.8562,0.2371,6
1,0,1,2,0,6,0,1,0.2624,0.2623,0.6381,0.0267,8
1,0,1,3,0,6,0,3,0.1788,0.1797,0.4651,0.11,5
1,0,1,4,0,6,0,3,0.1311,0.0981,0.6865,0.0746,9
1,0,1,5,1,6,0,1,0.0672,0.0763,0.5925,0.2117,17
1,0,1,6,0,6,0,1,0.3017,0.2679,0.4882,0.2077,65
1,0,1,7,0,6,0,2,0.1354,0.1482,0.599,0.1237,163
1,0,1,8,0,6,0,2,0.0966,0.0905,0.6721,0.1827,156
1,0,1,9,0,6,0,1,0.2104,0.2117,0.7412,0.2651,151
1,0,1,10,0,6,0,1,0.0972,0.0976,0.5569,0.1866,93
1,0,1,11,0,6,0,1,0.2104,0.1981,0.562,0.1342,140
1,0,1,12,0,6,0,2,0.1778,0.1787,0.6026,0.0646,90
1,0,1,13,0,6,0,2,0.266,0.278,0.8256,0.0991,93
1,0,1,14,0,6,0,1,0.2599,0.2505,0.7759,0.3263,106
1,0,1,15,0,6,0,2,0.2786,0.2678,0.6826,0.5002,87
1,0,1,16,0,6,0,2,0.2158,0.1944,0.6781,0.3092,130
1,0,1,17,0,6,0,3,0.1412,0.0796,0.5771,0.3099,132
1,0,1,18,0,6,0,1,0.1288,0.1233,0.7075,0.3347,143
1,0,1,19,0,6,0,1,0.1642,0.118,0.4956,0.4411,118
1,0,1,20,0,6,0,1,0.3409,0.3069,0.6723,0.3955,116
1,0,1,21,0,6,0,2,0.1839,0.1487,0.371,0.254,55
1,0,1,22,0,6,0,1,0.2126,0.1804,0.418,0.1864,59
1,0,1,23,0,6,0,1,0.3076,0.2726,0.3827,0.537,39
1,0,1,0,0,0,1,2,0.2196,0.2232,0.8398,0.0705,23
1,0,1,1,0,0,1,2,0.1494,0.1519,0.595,0.4655,12
1,0,1,2,0,0,1,1,0.2529,0.2436,0.4517,0.522,9
1,0,1,3,0,0,1,1,0.1718,0.1995,0.9065,0.3975,9
1,0,1,4,0,0,1,1,0.2221,0.3027,0.521,0.2421,16
1,0,1,5,0,0,1,1,0.2377,0.241,0.6771,0.1698,41
1,0,1,6,0,0,1,1,0.1672,0.1861,0.52,0.1332,102
1,0,1,7,0,0,1,1,0.2149,0.2125,0.7092,0.0981,227
1,0,1,8,0,0,1,1,0.3138,0.3176,0.6122,0.491,301
1,0,1,9,0,0,1,3,0.158,0.1013,0.5244,0.6433,131
1,0,1,10,0,0,1,3,0.294,0.1982,0.4537,0.1931,98
1,0,1,11,0,0,1,1,0.1605,0.089,0.5289,0.1968,144
1,0,1,12,0,0,1,2,0.328,0.2928,0.4934,0.6293,110
1,0,1,13,0,0,1,1,0.1419,0.1758,0.4026,0.5597,152
1,0,1,14,0,0,1,2,0.1742,0.1732,0.7021,0.5027,114
1,0,1,15,0,0,1,3,0.3074,0.2803,0.7479,0.1672,103
1,0,1,16,0,0,1,2,0.3105,0.312,0.5323,0.3834,181
1,0,1,17,0,0,1,2,0.2591,0.2567,0.3641,0.1189,206
1,0,1,18,0,0,1,1,0.1261,0.0791,0.6576,0.1896,256
